"app.timing","app.mthd","man.source","acid","incorp","t.incorp","app.timing.dk","air.temp","wind.2m","rain.rate","app.rate.ni","man.name","man.dm","man.ph","man.source.pig","app.mthd.os","app.mthd.cs","incorp.deep","incorp.shallow","ct","tan.app","id","EF","EFp","id.report","EFp.report"
"April","Closed slot injection","Cattle",FALSE,"None",NA,"April",8.5,3.91,0.09,0,"Kvæggylle",6.5,7,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,47,0.016,1.6,"002-2010",1.6
"April","Closed slot injection","Digestate",FALSE,"None",NA,"April",8.5,3.91,0.09,0,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,72,0.026,2.6,"076-2010",2.6
"April","Closed slot injection","Pig",FALSE,"None",NA,"April",8.5,3.91,0.09,0,"Svinegylle",3.9,7.2,TRUE,FALSE,TRUE,FALSE,FALSE,168,100,22,0.018,1.8,"039-2010",1.8
"April","Open slot injection","Cattle",FALSE,"None",NA,"April",8.5,3.91,0.09,0,"Kvæggylle",6.5,7,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,42,0.14,14,"004-2010",14
"April","Open slot injection","Digestate",FALSE,"None",NA,"April",8.5,3.91,0.09,0,"Afgasset biomasse",5.1,7.9,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,67,0.17,17,"078-2010",17
"April","Open slot injection","Pig",FALSE,"None",NA,"April",8.5,3.91,0.09,0,"Svinegylle",3.9,7.2,TRUE,TRUE,FALSE,FALSE,FALSE,168,100,17,0.098,9.8,"041-2010",9.8
"April","Trailing hose","Cattle",FALSE,"Deep",4,"April",8.5,3.91,0.09,30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,37,0.047,4.7,"016-2010",4.7
"April","Trailing hose","Cattle",FALSE,"None",NA,"April",8.5,3.91,0.09,30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,27,0.27,27,"018-2010",27
"April","Trailing hose","Cattle",FALSE,"Shallow",4,"April",8.5,3.91,0.09,30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,32,0.1,10,"251-2010",10
"April","Trailing hose","Cattle",TRUE,"None",NA,"April",8.5,3.91,0.09,30,"Kvæggylle",6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,82,0.19,19,"187-2010",18
